chembl_id	standard_inchi_key	chemical_class	chemical_superclass	chemical_subclass
CHEMBL1200689	MWUXSHHQAYIFBG-UHFFFAOYSA-N	Other non-metal organides	Homogeneous non-metal compounds	Other non-metal oxides
CHEMBL131	OIGNJSKKLXVSLS-VWUMJDOOSA-N	Steroids and steroid derivatives	Lipids and lipid-like molecules	Hydroxysteroids
CHEMBL160	PMATZTZNYRCHOR-CGLBZJNRSA-N	Peptidomimetics	Organic acids and derivatives	Peptoid-peptide hybrids
CHEMBL628	BYPFEZZEUUWMEJ-UHFFFAOYSA-N	Imidazopyrimidines	Organoheterocyclic compounds	Purines and purine derivatives
CHEMBL1631694	MIWWSGDADVMLTG-UHFFFAOYSA-N	Azoles	Organoheterocyclic compounds	Imidazoles
CHEMBL125	PQLXHQMOHUQAKB-UHFFFAOYSA-N	Organonitrogen compounds	Organic nitrogen compounds	Quaternary ammonium salts
CHEMBL2206196	LJRDOKAZOAKLDU-UDXJMMFXSA-N	Organooxygen compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates
CHEMBL267345	APKFDSVGJQXUKY-INPOYWNPSA-N	Organooxygen compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates
CHEMBL106	RFHAOTPXVQNOHP-UHFFFAOYSA-N	Benzene and substituted derivatives	Benzenoids	Halobenzenes
CHEMBL376488	QUIJNHUBAXPXFS-XLJNKUFUSA-N	Stilbenes	Phenylpropanoids and polyketides	
CHEMBL374478	JQXXHWHPUNPDRT-WLSIYKJHSA-N	Macrolactams	Phenylpropanoids and polyketides	
CHEMBL64391	VHVPQPYKVGDNFY-UHFFFAOYSA-N	Diazinanes	Organoheterocyclic compounds	Piperazines
CHEMBL1200633	SPBDXSGPUHCETR-JFUDTMANSA-N	Macrolides and analogues	Phenylpropanoids and polyketides	Milbemycins
CHEMBL529	MQTOSJVFKKJCRP-BICOPXKESA-N	Organooxygen compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates
CHEMBL20	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Azoles	Organoheterocyclic compounds	Thiadiazoles
CHEMBL1483	HXHWSAZORRCQMX-UHFFFAOYSA-N	Benzimidazoles	Organoheterocyclic compounds	2-benzimidazolylcarbamic acid esters
CHEMBL384467	UREBDLICKHMUKA-CXSFZGCWSA-N	Steroids and steroid derivatives	Lipids and lipid-like molecules	Hydroxysteroids
CHEMBL1282	DOUYETYNHWVLEO-UHFFFAOYSA-N	Quinolines and derivatives	Organoheterocyclic compounds	Imidazoquinolines
CHEMBL36	WKSAUQYGYAYLPV-UHFFFAOYSA-N	Diazines	Organoheterocyclic compounds	Pyrimidines and pyrimidine derivatives
CHEMBL290960	ARFHIAQFJWUCFH-IZZDOVSWSA-N	Furans	Organoheterocyclic compounds	Nitrofurans
CHEMBL1503	SUBDBMMJDZJVOS-UHFFFAOYSA-N	Benzimidazoles	Organoheterocyclic compounds	Sulfinylbenzimidazoles
CHEMBL976	FSVJFNAIGNNGKK-UHFFFAOYSA-N	Tetrahydroisoquinolines	Organoheterocyclic compounds	
CHEMBL2104415	YZBLFMPOMVTDJY-LSGXYNIPSA-N	Macrolides and analogues	Phenylpropanoids and polyketides	Milbemycins
CHEMBL361497	FIHJKUPKCHIPAT-AHIGJZGOSA-N	Prenol lipids	Lipids and lipid-like molecules	Sesquiterpenoids
CHEMBL830	VLCYCQAOQCDTCN-UHFFFAOYSA-N	Carboxylic acids and derivatives	Organic acids and derivatives	Amino acids, peptides, and analogues
CHEMBL370143	UOZODPSAJZTQNH-LSWIJEOBSA-N	Organooxygen compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates
CHEMBL684	RCKMWOKWVGPNJF-UHFFFAOYSA-N	Diazinanes	Organoheterocyclic compounds	Piperazines
CHEMBL3039597	NPEFREDMMVQEPL-RWPARATISA-N	Organooxygen compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates
CHEMBL110	CULUWZNBISUWAS-UHFFFAOYSA-N	Allyl-type 1,3-dipolar organic compounds	Organic 1,3-dipolar compounds	Organic nitro compounds
CHEMBL15797	KYQCOXFCLRTKLS-UHFFFAOYSA-N	Diazines	Organoheterocyclic compounds	Pyrazines
CHEMBL1200680	JNMWHTHYDQTDQZ-UHFFFAOYSA-N	Other non-metal organides	Homogeneous non-metal compounds	Other non-metal sulfides
CHEMBL3989515	WIDKTXGNSOORHA-CJHXQPGBSA-N	Carboxylic acids and derivatives	Organic acids and derivatives	Amino acids, peptides, and analogues
CHEMBL1292	WDQPAMHFFCXSNU-BGABXYSRSA-N	Diazanaphthalenes	Organoheterocyclic compounds	Benzodiazines
CHEMBL1043	MQJKPEGWNLWLTK-UHFFFAOYSA-N	Benzene and substituted derivatives	Benzenoids	Benzenesulfonyl compounds
CHEMBL1200699	XQTWDDCIUJNLTR-CVHRZJFOSA-N	Tetracyclines	Phenylpropanoids and polyketides	
CHEMBL1397	RAGOYPUPXAKGKH-XAKZXMRKSA-N	Diazinanes	Organoheterocyclic compounds	Piperazines
CHEMBL1200580	AZBNFLZFSZDPQF-UHFFFAOYSA-L	Benzene and substituted derivatives	Benzenoids	Benzenesulfonyl compounds
CHEMBL1200709	DNTGGZPQPQTDQF-XBXARRHUSA-N	Benzene and substituted derivatives	Benzenoids	Anilides
CHEMBL393220	FQCKMBLVYCEXJB-MNSAWQCASA-L	Pyrroles	Organoheterocyclic compounds	Substituted pyrroles
CHEMBL1741	AGOYDEPGAOXOCK-KCBOHYOISA-N	Organooxygen compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates
CHEMBL1431	XZWYZXLIPXDOLR-UHFFFAOYSA-N	Organonitrogen compounds	Organic nitrogen compounds	Guanidines
CHEMBL777	HZZVJAQRINQKSD-PBFISZAISA-N	Carboxylic acids and derivatives	Organic acids and derivatives	Amino acids, peptides, and analogues
CHEMBL1082	LSQZJLSUYDQPKJ-NJBDSQKTSA-N	Lactams	Organoheterocyclic compounds	Beta lactams
CHEMBL372795	UCSJYZPVAKXKNQ-HZYVHMACSA-N	Organooxygen compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates
CHEMBL45	DRLFMBDRBRZALE-UHFFFAOYSA-N	Indoles and derivatives	Organoheterocyclic compounds	Indoles
CHEMBL1235551	FSVJFNAIGNNGKK-KRWDZBQOSA-N	Tetrahydroisoquinolines	Organoheterocyclic compounds	
